Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
94680,NA,NA,NA,NA,NA,NA,NA,0
94681,NA,NA,NA,NA,NA,NA,NA,0
94682,NA,NA,NA,NA,NA,NA,NA,0
94683,Cilomilast,HMDB0250246,151170,94683,NA,NA,COC1=C(OC2CCCC2)C=C(C=C1)C1(CCC(CC1)C(O)=O)C#N,1
94684,NA,NA,NA,NA,NA,NA,NA,0
94685,NA,NA,NA,NA,NA,NA,NA,0
94687,NA,NA,NA,NA,NA,NA,NA,0
94688,NA,NA,NA,NA,NA,NA,NA,0
94689,NA,NA,NA,NA,NA,NA,NA,0
94690,NA,NA,NA,NA,NA,NA,NA,0
94691,NA,NA,NA,NA,NA,NA,NA,0
94692,NA,NA,NA,NA,NA,NA,NA,0
94693,NA,NA,NA,NA,NA,NA,NA,0
94694,NA,NA,NA,NA,NA,NA,NA,0
94695,9-cis Retinol Acetate,HMDB0247587,5057,94695,NA,NA,CC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,1
94696,NA,NA,NA,NA,NA,NA,NA,0
94697,NA,NA,NA,NA,NA,NA,NA,0
94698,NA,NA,NA,NA,NA,NA,NA,0
94699,NA,NA,NA,NA,NA,NA,NA,0
94700,NA,NA,NA,NA,NA,NA,NA,0
94701,NA,NA,NA,NA,NA,NA,NA,0
94702,NA,NA,NA,NA,NA,NA,NA,0
94703,NA,NA,NA,NA,NA,NA,NA,0
94704,NA,NA,NA,NA,NA,NA,NA,0
94705,NA,NA,NA,NA,NA,NA,NA,0
94706,NA,NA,NA,NA,NA,NA,NA,0
94707,NA,NA,NA,NA,NA,NA,NA,0
94708,NA,NA,NA,NA,NA,NA,NA,0
94709,NA,NA,NA,NA,NA,NA,NA,0
94710,NA,NA,NA,NA,NA,NA,NA,0
94711,NA,NA,NA,NA,NA,NA,NA,0
94712,NA,NA,NA,NA,NA,NA,NA,0
94713,NA,NA,NA,NA,NA,NA,NA,0
94715,NA,NA,NA,NA,NA,NA,NA,0
94716,NA,NA,NA,NA,NA,NA,NA,0
94717,NA,NA,NA,NA,NA,NA,NA,0
94718,NA,NA,NA,NA,NA,NA,NA,0
94719,NA,NA,NA,NA,NA,NA,NA,0
94720,NA,NA,NA,NA,NA,NA,NA,0
94721,NA,NA,NA,NA,NA,NA,NA,0
94722,NA,NA,NA,NA,NA,NA,NA,0
94723,NA,NA,NA,NA,NA,NA,NA,0
94724,NA,NA,NA,NA,NA,NA,NA,0
94725,NA,NA,NA,NA,NA,NA,NA,0
94726,NA,NA,NA,NA,NA,NA,NA,0
93772,Ispinesib,HMDB0253716,6450817,93772,NA,NA,CC(C)C(N(CCCN)C(=O)C1=CC=C(C)C=C1)C1=NC2=C(C=CC(Cl)=C2)C(=O)N1CC1=CC=CC=C1,1
93773,NA,NA,NA,NA,NA,NA,NA,0
93774,NA,NA,NA,NA,NA,NA,NA,0
93775,NA,NA,NA,NA,NA,NA,NA,0
93776,Pevonedistat,HMDB0256358,49831043,93776,NA,NA,NS(=O)(=O)OCC1CC(CC1O)N1C=CC2=C1N=CN=C2NC1CCC2=CC=CC=C12,1
93777,NA,NA,NA,NA,NA,NA,NA,0
93778,NA,NA,NA,NA,NA,NA,NA,0
93779,NA,NA,NA,NA,NA,NA,NA,0
93780,NA,NA,NA,NA,NA,NA,NA,0
93781,purvalanol A,HMDB0256930,4987,93781,NA,NA,CC(C)C(CO)NC1=NC2=C(N=CN2C(C)C)C(NC2=CC(Cl)=CC=C2)=N1,1
93782,NA,NA,NA,NA,NA,NA,NA,0
93783,NA,NA,NA,NA,NA,NA,NA,0
93784,NA,NA,NA,NA,NA,NA,NA,0
93785,NA,NA,NA,NA,NA,NA,NA,0
93786,NA,NA,NA,NA,NA,NA,NA,0
93787,NA,NA,NA,NA,NA,NA,NA,0
93789,NA,NA,NA,NA,NA,NA,NA,0
93790,NA,NA,NA,NA,NA,NA,NA,0
93791,NA,NA,NA,NA,NA,NA,NA,0
93792,NA,NA,NA,NA,NA,NA,NA,0
93793,beta-Funaltrexamine,HMDB0249128,5137129,93793,NA,NA,COC(=O)C=CC(=O)NC1CCC2(O)C3CC4=C5C(OC1C25CCN3CC1CC1)=C(O)C=C4,1
93794,NA,NA,NA,NA,NA,NA,NA,0
93795,NA,NA,NA,NA,NA,NA,NA,0
93796,NA,NA,NA,NA,NA,NA,NA,0
93797,NA,NA,NA,NA,NA,NA,NA,0
93798,NA,NA,NA,NA,NA,NA,NA,0
93799,NA,NA,NA,NA,NA,NA,NA,0
93800,NA,NA,NA,NA,NA,NA,NA,0
93801,NA,NA,NA,NA,NA,NA,NA,0
93802,NA,NA,NA,NA,NA,NA,NA,0
93803,NA,NA,NA,NA,NA,NA,NA,0
93804,NA,NA,NA,NA,NA,NA,NA,0
93805,NA,NA,NA,NA,NA,NA,NA,0
93806,NA,NA,NA,NA,NA,NA,NA,0
93807,NA,NA,NA,NA,NA,NA,NA,0
93808,NA,NA,NA,NA,NA,NA,NA,0
93809,NA,NA,NA,NA,NA,NA,NA,0
93810,NA,NA,NA,NA,NA,NA,NA,0
93811,2-[6-Fluoro-2-methyl-3-[(4-methylsulfinylphenyl)methylidene]-1-indenyl]acetic acid,HMDB0246228,5352,93811,NA,NA,CC1=C(CC(O)=O)C2=C(C=CC(F)=C2)C1=CC1=CC=C(C=C1)S(C)=O,1
93812,NA,NA,NA,NA,NA,NA,NA,0
93813,Phorbol 12-myristate 13-acetate,HMDB0244744,4792,93813,NA,NA,CCCCCCCCCCCCCC(=O)OC1C(C)C2(O)C3C=C(C)C(=O)C3(O)CC(CO)=CC2C2C(C)(C)C12OC(C)=O,1
93814,NA,NA,NA,NA,NA,NA,NA,0
93815,(-)-Abscisic acid,HMDB0243505,287291,93815,C11060,NA,CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(O)=O,1
93816,NA,NA,NA,NA,NA,NA,NA,0
93817,5-Iodotubercidin,HMDB0246817,1830,93817,NA,NA,NC1=NC=NC2=C1C(I)=CN2C1OC(CO)C(O)C1O,1
93818,NA,NA,NA,NA,NA,NA,NA,0
93819,NA,NA,NA,NA,NA,NA,NA,0
93820,"2',5'-Dideoxyadenosine",HMDB0245554,3044,93820,NA,NA,CC1OC(CC1O)N1C=NC2=C1N=CN=C2N,1
93821,NA,NA,NA,NA,NA,NA,NA,0
93822,NA,NA,NA,NA,NA,NA,NA,0
93823,NA,NA,NA,NA,NA,NA,NA,0
93824,NA,NA,NA,NA,NA,NA,NA,0
93825,NA,NA,NA,NA,NA,NA,NA,0
93826,NA,NA,NA,NA,NA,NA,NA,0
93827,NA,NA,NA,NA,NA,NA,NA,0
93828,NA,NA,NA,NA,NA,NA,NA,0
93770,NA,NA,NA,NA,NA,NA,NA,0
93829,4-[1-hydroxy-2-[4-(phenylmethyl)-1-piperidinyl]propyl]phenol,NA,NA,93829,NA,NA,NA,1
93830,NA,NA,NA,NA,NA,NA,NA,0
94728,NA,NA,NA,NA,NA,NA,NA,0
94729,NA,NA,NA,NA,NA,NA,NA,0
94730,NA,NA,NA,NA,NA,NA,NA,0
94731,NA,NA,NA,NA,NA,NA,NA,0
94732,NA,NA,NA,NA,NA,NA,NA,0
94733,NA,NA,NA,NA,NA,NA,NA,0
94734,NA,NA,NA,NA,NA,NA,NA,0
94735,NA,NA,NA,NA,NA,NA,NA,0
94736,Morantel,HMDB0254882,4250,94736,NA,NA,CN1CCCN=C1C=CC1=C(C)C=CS1,1
94737,NA,NA,NA,NA,NA,NA,NA,0
94738,NA,NA,NA,NA,NA,NA,NA,0
94739,NA,NA,NA,NA,NA,NA,NA,0
94740,NA,NA,NA,NA,NA,NA,NA,0
94741,NA,NA,NA,NA,NA,NA,NA,0
93832,NA,NA,NA,NA,NA,NA,NA,0
93833,NA,NA,NA,NA,NA,NA,NA,0
93834,NA,NA,NA,NA,NA,NA,NA,0
93835,NA,NA,NA,NA,NA,NA,NA,0
93837,NA,NA,NA,NA,NA,NA,NA,0
93838,NA,NA,NA,NA,NA,NA,NA,0
93839,NA,NA,NA,NA,NA,NA,NA,0
93840,NA,NA,NA,NA,NA,NA,NA,0
93841,NA,NA,NA,NA,NA,NA,NA,0
93842,NA,NA,NA,NA,NA,NA,NA,0
93843,NA,NA,NA,NA,NA,NA,NA,0
93844,NA,NA,NA,NA,NA,NA,NA,0
93845,NA,NA,NA,NA,NA,NA,NA,0
93846,NA,NA,NA,NA,NA,NA,NA,0
93847,NA,NA,NA,NA,NA,NA,NA,0
93848,Dehydrodihydrorotenone,NA,3950722,93848,NA,NA,COc1cc2c(cc1OC)-c1c(oc3c4c(ccc3c1=O)OC(C(C)C)C4)CO2,1
93849,NA,NA,NA,NA,NA,NA,NA,0
93850,NA,NA,NA,NA,NA,NA,NA,0
93851,NA,NA,NA,NA,NA,NA,NA,0
93852,NA,NA,NA,NA,NA,NA,NA,0
93853,NA,NA,NA,NA,NA,NA,NA,0
93854,NA,NA,NA,NA,NA,NA,NA,0
93855,NA,NA,NA,NA,NA,NA,NA,0
93856,NA,NA,NA,NA,NA,NA,NA,0
93857,NA,NA,NA,NA,NA,NA,NA,0
93858,NA,NA,NA,NA,NA,NA,NA,0
93859,NA,NA,NA,NA,NA,NA,NA,0
93860,NA,NA,NA,NA,NA,NA,NA,0
93861,NA,NA,NA,NA,NA,NA,NA,0
93862,Cantharidin,HMDB0249592,2545,93862,NA,NA,CC12C3CCC(O3)C1(C)C(=O)OC2=O,1
93863,NA,NA,NA,NA,NA,NA,NA,0
93864,NA,NA,NA,NA,NA,NA,NA,0
93865,NA,NA,NA,NA,NA,NA,NA,0
93866,NA,NA,NA,NA,NA,NA,NA,0
93867,NA,NA,NA,NA,NA,NA,NA,0
93868,NA,NA,NA,NA,NA,NA,NA,0
93869,NA,NA,NA,NA,NA,NA,NA,0
93870,NA,NA,NA,NA,NA,NA,NA,0
93871,NA,NA,NA,NA,NA,NA,NA,0
93872,NA,NA,NA,NA,NA,NA,NA,0
93873,NA,NA,NA,NA,NA,NA,NA,0
93874,NA,NA,NA,NA,NA,NA,NA,0
93875,NA,NA,NA,NA,NA,NA,NA,0
93876,NA,NA,NA,NA,NA,NA,NA,0
93877,NA,NA,NA,NA,NA,NA,NA,0
93878,NA,NA,NA,NA,NA,NA,NA,0
93879,NA,NA,NA,NA,NA,NA,NA,0
93880,NA,NA,NA,NA,NA,NA,NA,0
93881,NA,NA,NA,NA,NA,NA,NA,0
93882,NA,NA,NA,NA,NA,NA,NA,0
93883,NA,NA,NA,NA,NA,NA,NA,0
93884,NA,NA,NA,NA,NA,NA,NA,0
93885,"1H-Imidazole-4-carboxamide, 5-amino-1-(5-O-phosphono-beta-D-ribofuranosyl)-",HMDB0248071,200,93885,NA,NA,NC1=C(N=CN1C1OC(COP(O)(O)=O)C(O)C1O)C(O)=N,1
93886,NA,NA,NA,NA,NA,NA,NA,0
93887,NA,NA,NA,NA,NA,NA,NA,0
93888,NA,NA,NA,NA,NA,NA,NA,0
93831,NA,NA,NA,NA,NA,NA,NA,0
93889,NA,NA,NA,NA,NA,NA,NA,0
93890,NA,NA,NA,NA,NA,NA,NA,0
93891,Forskolin,HMDB0252457,3413,93891,C09076,NA,CC(=O)OC1C(O)C2C(C)(C)CCC(O)C2(C)C2(O)C(=O)CC(C)(OC12C)C=C,1
93892,NA,NA,NA,NA,NA,NA,NA,0
93893,NA,NA,NA,NA,NA,NA,NA,0
93894,NA,NA,NA,NA,NA,NA,NA,0
93895,NA,NA,NA,NA,NA,NA,NA,0
93896,NA,NA,NA,NA,NA,NA,NA,0
93897,NA,NA,NA,NA,NA,NA,NA,0
93898,NA,NA,NA,NA,NA,NA,NA,0
93899,(R)-Heraclenol,HMDB0030745,328236,93899,NA,NA,CC(C)(O)C(O)COC1=C2OC(=O)C=CC2=CC2=C1OC=C2,1
93900,NA,NA,NA,NA,NA,NA,NA,0
93901,NA,NA,NA,NA,NA,NA,NA,0
93902,NA,NA,NA,NA,NA,NA,NA,0
94803,NA,NA,NA,NA,NA,NA,NA,0
94805,NA,NA,NA,NA,NA,NA,NA,0
94806,NA,NA,NA,NA,NA,NA,NA,0
94807,NA,NA,NA,NA,NA,NA,NA,0
94808,NA,NA,NA,NA,NA,NA,NA,0
94809,NA,NA,NA,NA,NA,NA,NA,0
94810,NA,NA,NA,NA,NA,NA,NA,0
94811,NA,NA,NA,NA,NA,NA,NA,0
94812,NA,NA,NA,NA,NA,NA,NA,0
94813,NA,NA,NA,NA,NA,NA,NA,0
94814,NA,NA,NA,NA,NA,NA,NA,0
94815,NA,NA,NA,NA,NA,NA,NA,0
94816,NA,NA,NA,NA,NA,NA,NA,0
94817,NA,NA,NA,NA,NA,NA,NA,0
94818,NA,NA,NA,NA,NA,NA,NA,0
94819,NA,NA,NA,NA,NA,NA,NA,0
94820,NA,NA,NA,NA,NA,NA,NA,0
94821,NA,NA,NA,NA,NA,NA,NA,0
94822,NA,NA,NA,NA,NA,NA,NA,0
94823,NA,NA,NA,NA,NA,NA,NA,0
94824,NA,NA,NA,NA,NA,NA,NA,0
94825,NA,NA,NA,NA,NA,NA,NA,0
94826,NA,NA,NA,NA,NA,NA,NA,0
94827,NA,NA,NA,NA,NA,NA,NA,0
94828,NA,NA,NA,NA,NA,NA,NA,0
94829,NA,NA,NA,NA,NA,NA,NA,0
94830,NA,NA,NA,NA,NA,NA,NA,0
94831,NA,NA,NA,NA,NA,NA,NA,0
94832,NA,NA,NA,NA,NA,NA,NA,0
94833,NA,NA,NA,NA,NA,NA,NA,0
94834,NA,NA,NA,NA,NA,NA,NA,0
94835,NA,NA,NA,NA,NA,NA,NA,0
94836,NA,NA,NA,NA,NA,NA,NA,0
94837,NA,NA,NA,NA,NA,NA,NA,0
94838,NA,NA,NA,NA,NA,NA,NA,0
94839,NA,NA,NA,NA,NA,NA,NA,0
94840,NA,NA,NA,NA,NA,NA,NA,0
94841,NA,NA,NA,NA,NA,NA,NA,0
94842,NA,NA,NA,NA,NA,NA,NA,0
94843,NA,NA,NA,NA,NA,NA,NA,0
94844,NA,NA,NA,NA,NA,NA,NA,0
94846,NA,NA,NA,NA,NA,NA,NA,0
94847,NA,NA,NA,NA,NA,NA,NA,0
94848,NA,NA,NA,NA,NA,NA,NA,0
94849,NA,NA,NA,NA,NA,NA,NA,0
94850,NA,NA,NA,NA,NA,NA,NA,0
94802,NA,NA,NA,NA,NA,NA,NA,0
94851,NA,NA,NA,NA,NA,NA,NA,0
94852,NA,NA,NA,NA,NA,NA,NA,0
94853,NA,NA,NA,NA,NA,NA,NA,0
94854,NA,NA,NA,NA,NA,NA,NA,0
94855,NA,NA,NA,NA,NA,NA,NA,0
93904,NA,NA,NA,NA,NA,NA,NA,0
93905,NA,NA,NA,NA,NA,NA,NA,0
93906,NA,NA,NA,NA,NA,NA,NA,0
93907,NA,NA,NA,NA,NA,NA,NA,0
93908,NA,NA,NA,NA,NA,NA,NA,0
93909,NA,NA,NA,NA,NA,NA,NA,0
93910,Calpeptin,HMDB0249563,2532,93910,NA,NA,CCCCC(NC(=O)C(CC(C)C)NC(=O)OCC1=CC=CC=C1)C=O,1
93911,NA,NA,NA,NA,NA,NA,NA,0
93912,NA,NA,NA,NA,NA,NA,NA,0
93913,NA,NA,NA,NA,NA,NA,NA,0
93914,NA,NA,NA,NA,NA,NA,NA,0
93915,NA,NA,NA,NA,NA,NA,NA,0
93916,NA,NA,NA,NA,NA,NA,NA,0
93917,NA,NA,NA,NA,NA,NA,NA,0
93918,NA,NA,NA,NA,NA,NA,NA,0
93919,NA,NA,NA,NA,NA,NA,NA,0
93920,NA,NA,NA,NA,NA,NA,NA,0
93921,NA,NA,NA,NA,NA,NA,NA,0
93922,NA,NA,NA,NA,NA,NA,NA,0
93923,NA,NA,NA,NA,NA,NA,NA,0
93924,NA,NA,NA,NA,NA,NA,NA,0
93925,NA,NA,NA,NA,NA,NA,NA,0
93926,NA,NA,NA,NA,NA,NA,NA,0
93927,NA,NA,NA,NA,NA,NA,NA,0
93928,NA,NA,NA,NA,NA,NA,NA,0
93929,NA,NA,NA,NA,NA,NA,NA,0
93930,NA,NA,NA,NA,NA,NA,NA,0
93931,NA,NA,NA,NA,NA,NA,NA,0
93932,NA,NA,NA,NA,NA,NA,NA,0
93933,NA,NA,NA,NA,NA,NA,NA,0
93934,NA,NA,NA,NA,NA,NA,NA,0
93935,NA,NA,NA,NA,NA,NA,NA,0
93936,NA,NA,NA,NA,NA,NA,NA,0
93937,NA,NA,NA,NA,NA,NA,NA,0
93938,NA,NA,NA,NA,NA,NA,NA,0
93939,NA,NA,NA,NA,NA,NA,NA,0
93941,NA,NA,NA,NA,NA,NA,NA,0
93942,NA,NA,NA,NA,NA,NA,NA,0
93944,NA,NA,NA,NA,NA,NA,NA,0
93945,NA,NA,NA,NA,NA,NA,NA,0
93946,NA,NA,NA,NA,NA,NA,NA,0
93947,NA,NA,NA,NA,NA,NA,NA,0
93948,NA,NA,NA,NA,NA,NA,NA,0
93949,NA,NA,NA,NA,NA,NA,NA,0
93950,NA,NA,NA,NA,NA,NA,NA,0
93951,NA,NA,NA,NA,NA,NA,NA,0
93952,NA,NA,NA,NA,NA,NA,NA,0
93953,NA,NA,NA,NA,NA,NA,NA,0
93954,NA,NA,NA,NA,NA,NA,NA,0
93955,NA,NA,NA,NA,NA,NA,NA,0
93956,NA,NA,NA,NA,NA,NA,NA,0
93957,NA,NA,NA,NA,NA,NA,NA,0
93958,NA,NA,NA,NA,NA,NA,NA,0
93959,NA,NA,NA,NA,NA,NA,NA,0
93960,NA,NA,NA,NA,NA,NA,NA,0
93961,NA,NA,NA,NA,NA,NA,NA,0
93962,NA,NA,NA,NA,NA,NA,NA,0
93963,NA,NA,NA,NA,NA,NA,NA,0
93964,NA,NA,NA,NA,NA,NA,NA,0
93965,NA,NA,NA,NA,NA,NA,NA,0
93966,NA,NA,NA,NA,NA,NA,NA,0
93967,NA,NA,NA,NA,NA,NA,NA,0
93968,NA,NA,NA,NA,NA,NA,NA,0
93969,NA,NA,NA,NA,NA,NA,NA,0
93903,NA,NA,NA,NA,NA,NA,NA,0
93970,NA,NA,NA,NA,NA,NA,NA,0
94928,NA,NA,NA,NA,NA,NA,NA,0
94929,NA,NA,NA,NA,NA,NA,NA,0
94930,NA,NA,NA,NA,NA,NA,NA,0
94931,NA,NA,NA,NA,NA,NA,NA,0
94932,NA,NA,NA,NA,NA,NA,NA,0
94933,NA,NA,NA,NA,NA,NA,NA,0
94934,NA,NA,NA,NA,NA,NA,NA,0
94935,NA,NA,NA,NA,NA,NA,NA,0
94936,NA,NA,NA,NA,NA,NA,NA,0
94937,NA,NA,NA,NA,NA,NA,NA,0
94938,NA,NA,NA,NA,NA,NA,NA,0
94939,NA,NA,NA,NA,NA,NA,NA,0
94940,NA,NA,NA,NA,NA,NA,NA,0
94941,NA,NA,NA,NA,NA,NA,NA,0
94942,NA,NA,NA,NA,NA,NA,NA,0
94943,NA,NA,NA,NA,NA,NA,NA,0
94944,NA,NA,NA,NA,NA,NA,NA,0
94945,NA,NA,NA,NA,NA,NA,NA,0
94946,NA,NA,NA,NA,NA,NA,NA,0
94947,NA,NA,NA,NA,NA,NA,NA,0
94948,NA,NA,NA,NA,NA,NA,NA,0
94949,NA,NA,NA,NA,NA,NA,NA,0
94950,NA,NA,NA,NA,NA,NA,NA,0
94951,NA,NA,NA,NA,NA,NA,NA,0
94952,NA,NA,NA,NA,NA,NA,NA,0
94953,NA,NA,NA,NA,NA,NA,NA,0
94954,NA,NA,NA,NA,NA,NA,NA,0
94955,NA,NA,NA,NA,NA,NA,NA,0
94956,NA,NA,NA,NA,NA,NA,NA,0
94957,NA,NA,NA,NA,NA,NA,NA,0
93971,NA,NA,NA,NA,NA,NA,NA,0
93972,NA,NA,NA,NA,NA,NA,NA,0
93973,NA,NA,NA,NA,NA,NA,NA,0
93974,NA,NA,NA,NA,NA,NA,NA,0
93975,NA,NA,NA,NA,NA,NA,NA,0
93976,NA,NA,NA,NA,NA,NA,NA,0
93977,NA,NA,NA,NA,NA,NA,NA,0
93978,NA,NA,NA,NA,NA,NA,NA,0
93979,NA,NA,NA,NA,NA,NA,NA,0
93980,NA,NA,NA,NA,NA,NA,NA,0
93981,NA,NA,NA,NA,NA,NA,NA,0
93982,NA,NA,NA,NA,NA,NA,NA,0
93983,NA,NA,NA,NA,NA,NA,NA,0
93984,NA,NA,NA,NA,NA,NA,NA,0
93985,NA,NA,NA,NA,NA,NA,NA,0
93986,BIX-01294,NA,25150857,93986,NA,NA,NA,1
93987,NA,NA,NA,NA,NA,NA,NA,0
93988,NA,NA,NA,NA,NA,NA,NA,0
93989,NA,NA,NA,NA,NA,NA,NA,0
93990,NA,NA,NA,NA,NA,NA,NA,0
93991,NA,NA,NA,NA,NA,NA,NA,0
93992,NA,NA,NA,NA,NA,NA,NA,0
93993,NA,NA,NA,NA,NA,NA,NA,0
93994,NA,NA,NA,NA,NA,NA,NA,0
93995,NA,NA,NA,NA,NA,NA,NA,0
93996,NA,NA,NA,NA,NA,NA,NA,0
93997,NA,NA,NA,NA,NA,NA,NA,0
93998,NA,NA,NA,NA,NA,NA,NA,0
93999,NA,NA,NA,NA,NA,NA,NA,0
94000,NA,NA,NA,NA,NA,NA,NA,0
94001,NA,NA,NA,NA,NA,NA,NA,0
94002,NA,NA,NA,NA,NA,NA,NA,0
94003,"2,2'-Azobis(2-amidinopropane)",HMDB0245347,1969,94003,NA,NA,CC(C)(N=NC(C)(C)C(N)=N)C(N)=N,1
94004,NA,NA,NA,NA,NA,NA,NA,0
94005,NA,NA,NA,NA,NA,NA,NA,0
94006,NA,NA,NA,NA,NA,NA,NA,0
94007,NA,NA,NA,NA,NA,NA,NA,0
94008,NA,NA,NA,NA,NA,NA,NA,0
94009,NA,NA,NA,NA,NA,NA,NA,0
94010,NA,NA,NA,NA,NA,NA,NA,0
94011,NA,NA,NA,NA,NA,NA,NA,0
94012,NA,NA,NA,NA,NA,NA,NA,0
94013,NA,NA,NA,NA,NA,NA,NA,0
94014,NA,NA,NA,NA,NA,NA,NA,0
94015,NA,NA,NA,NA,NA,NA,NA,0
94016,NA,NA,NA,NA,NA,NA,NA,0
94017,NA,NA,NA,NA,NA,NA,NA,0
94018,NA,NA,NA,NA,NA,NA,NA,0
94019,NA,NA,NA,NA,NA,NA,NA,0
94020,NA,NA,NA,NA,NA,NA,NA,0
94856,NA,NA,NA,NA,NA,NA,NA,0
94857,NA,NA,NA,NA,NA,NA,NA,0
94858,NA,NA,NA,NA,NA,NA,NA,0
94859,NA,NA,NA,NA,NA,NA,NA,0
94860,NA,NA,NA,NA,NA,NA,NA,0
94861,NA,NA,NA,NA,NA,NA,NA,0
94862,NA,NA,NA,NA,NA,NA,NA,0
94863,NA,NA,NA,NA,NA,NA,NA,0
94864,NA,NA,NA,NA,NA,NA,NA,0
94865,NA,NA,NA,NA,NA,NA,NA,0
94866,NA,NA,NA,NA,NA,NA,NA,0
94867,NA,NA,NA,NA,NA,NA,NA,0
94868,NA,NA,NA,NA,NA,NA,NA,0
94869,NA,NA,NA,NA,NA,NA,NA,0
94870,NA,NA,NA,NA,NA,NA,NA,0
94871,NA,NA,NA,NA,NA,NA,NA,0
94872,NA,NA,NA,NA,NA,NA,NA,0
94873,NA,NA,NA,NA,NA,NA,NA,0
94874,NA,NA,NA,NA,NA,NA,NA,0
94875,NA,NA,NA,NA,NA,NA,NA,0
94876,NA,NA,NA,NA,NA,NA,NA,0
94877,NA,NA,NA,NA,NA,NA,NA,0
94878,NA,NA,NA,NA,NA,NA,NA,0
94879,NA,NA,NA,NA,NA,NA,NA,0
94880,NA,NA,NA,NA,NA,NA,NA,0
94881,NA,NA,NA,NA,NA,NA,NA,0
94882,NA,NA,NA,NA,NA,NA,NA,0
94883,NA,NA,NA,NA,NA,NA,NA,0
94884,NA,NA,NA,NA,NA,NA,NA,0
94885,NA,NA,NA,NA,NA,NA,NA,0
94886,NA,NA,NA,NA,NA,NA,NA,0
94887,NA,NA,NA,NA,NA,NA,NA,0
94888,NA,NA,NA,NA,NA,NA,NA,0
94022,NA,NA,NA,NA,NA,NA,NA,0
94023,NA,NA,NA,NA,NA,NA,NA,0
94024,NA,NA,NA,NA,NA,NA,NA,0
94025,NA,NA,NA,NA,NA,NA,NA,0
94026,NA,NA,NA,NA,NA,NA,NA,0
94027,NA,NA,NA,NA,NA,NA,NA,0
94028,NA,NA,NA,NA,NA,NA,NA,0
94029,NA,NA,NA,NA,NA,NA,NA,0
94030,NA,NA,NA,NA,NA,NA,NA,0
94031,NA,NA,NA,NA,NA,NA,NA,0
94032,NA,NA,NA,NA,NA,NA,NA,0
94033,NA,NA,NA,NA,NA,NA,NA,0
94034,NA,NA,NA,NA,NA,NA,NA,0
94035,NA,NA,NA,NA,NA,NA,NA,0
94036,NA,NA,NA,NA,NA,NA,NA,0
94037,NA,NA,NA,NA,NA,NA,NA,0
94038,NA,NA,NA,NA,NA,NA,NA,0
94039,NA,NA,NA,NA,NA,NA,NA,0
94040,NA,NA,NA,NA,NA,NA,NA,0
94041,NA,NA,NA,NA,NA,NA,NA,0
94042,NA,NA,NA,NA,NA,NA,NA,0
94043,NA,NA,NA,NA,NA,NA,NA,0
94044,NA,NA,NA,NA,NA,NA,NA,0
94045,NA,NA,NA,NA,NA,NA,NA,0
94046,NA,NA,NA,NA,NA,NA,NA,0
94047,NA,NA,NA,NA,NA,NA,NA,0
94049,NA,NA,NA,NA,NA,NA,NA,0
94051,NA,NA,NA,NA,NA,NA,NA,0
94052,NA,NA,NA,NA,NA,NA,NA,0
94053,NA,NA,NA,NA,NA,NA,NA,0
94054,NA,NA,NA,NA,NA,NA,NA,0
94055,NA,NA,NA,NA,NA,NA,NA,0
94056,NA,NA,NA,NA,NA,NA,NA,0
94058,NA,NA,NA,NA,NA,NA,NA,0
94059,NA,NA,NA,NA,NA,NA,NA,0
94060,NA,NA,NA,NA,NA,NA,NA,0
94061,NA,NA,NA,NA,NA,NA,NA,0
94062,NA,NA,NA,NA,NA,NA,NA,0
94063,Dacinostat,HMDB0250821,216248,94063,NA,NA,OCCN(CCC1=CNC2=CC=CC=C12)CC1=CC=C(C=CC(=O)NO)C=C1,1
94064,NA,NA,NA,NA,NA,NA,NA,0
94065,NA,NA,NA,NA,NA,NA,NA,0
94066,NA,NA,NA,NA,NA,NA,NA,0
94067,NA,NA,NA,NA,NA,NA,NA,0
94068,NA,NA,NA,NA,NA,NA,NA,0
94069,NA,NA,NA,NA,NA,NA,NA,0
94070,NA,NA,NA,NA,NA,NA,NA,0
94071,NA,NA,NA,NA,NA,NA,NA,0
94072,NA,NA,NA,NA,NA,NA,NA,0
94073,NA,NA,NA,NA,NA,NA,NA,0
94074,NA,NA,NA,NA,NA,NA,NA,0
94075,NA,NA,NA,NA,NA,NA,NA,0
94076,NA,NA,NA,NA,NA,NA,NA,0
94077,NA,NA,NA,NA,NA,NA,NA,0
94078,NA,NA,NA,NA,NA,NA,NA,0
94021,NA,NA,NA,NA,NA,NA,NA,0
94079,NA,NA,NA,NA,NA,NA,NA,0
94080,NA,NA,NA,NA,NA,NA,NA,0
94081,NA,NA,NA,NA,NA,NA,NA,0
94082,NA,NA,NA,NA,NA,NA,NA,0
94083,NA,NA,NA,NA,NA,NA,NA,0
94084,NA,NA,NA,NA,NA,NA,NA,0
94890,NA,NA,NA,NA,NA,NA,NA,0
94891,NA,NA,NA,NA,NA,NA,NA,0
94892,NA,NA,NA,NA,NA,NA,NA,0
94893,NA,NA,NA,NA,NA,NA,NA,0
94894,NA,NA,NA,NA,NA,NA,NA,0
94895,NA,NA,NA,NA,NA,NA,NA,0
94896,NA,NA,NA,NA,NA,NA,NA,0
